ID,latitude,longitude,date,grid_id
"79",32.161,-109.816,2004-04-29,"1779"
"150",32.059,-109.871,2005-11-27,"1779"
"151",32.105,-109.786,2005-11-27,"1779"
"152",32.134,-109.859,2005-11-27,"1779"
"202",32.139,-109.846,2008-01-07,"1779"
"20",32.198,-108.268,2003-04-15,"1867"
"18",31.564,-108.268,2003-04-15,"1868"
"76",31.595,-108.169,2004-02-19,"1868"
"165",31.445,-108.115,2006-01-15,"1868"
"181",31.323,-108.103,2006-03-11,"1868"
"182",31.436,-108.031,2006-03-11,"1868"
"183",31.455,-108.061,2006-03-11,"1868"
"206",31.478,-108.112,2008-02-04,"1868"
"207",31.507,-108.121,2008-02-04,"1868"
"55",32.04,-107.461,2003-12-15,"1955"
"56",32.048,-107.395,2003-12-15,"1955"
"57",32.126,-107.385,2003-12-15,"1955"
"58",32.128,-107.407,2003-12-15,"1955"
"59",32.135,-107.495,2003-12-15,"1955"
"60",32.159,-107.379,2003-12-15,"1955"
"61",32.191,-107.346,2003-12-15,"1955"
"62",32.282,-107.088,2003-12-15,"1955"
"78",32.294,-107.882,2004-02-19,"1955"
"153",32.203,-107.353,2005-11-27,"1955"
"4",31.125,-107.259,2001-04-06,"1956"
"7",31.36,-107.102,2002-03-08,"1956"
"16",31.2,-107.053,2003-04-15,"1956"
"17",31.378,-107.271,2003-04-15,"1956"
"19",31.669,-107.437,2003-04-15,"1956"
"22",31.548,-107.786,2003-12-15,"1956"
"23",31.554,-107.573,2003-12-15,"1956"
"25",31.652,-107.459,2003-12-15,"1956"
"26",31.709,-107.432,2003-12-15,"1956"
"28",31.721,-107.387,2003-12-15,"1956"
"29",31.736,-107.446,2003-12-15,"1956"
"30",31.745,-107.253,2003-12-15,"1956"
"32",31.764,-107.374,2003-12-15,"1956"
"33",31.765,-107.53,2003-12-15,"1956"
"36",31.811,-107.365,2003-12-15,"1956"
"37",31.812,-107.422,2003-12-15,"1956"
"38",31.84,-107.333,2003-12-15,"1956"
"39",31.842,-107.396,2003-12-15,"1956"
"40",31.845,-107.51,2003-12-15,"1956"
"42",31.857,-107.472,2003-12-15,"1956"
