ID,latitude,longitude,date,grid_id
"198",-22.13,134.921,2003-10-19,"23306"
"288",-22.909,134.934,2005-12-24,"23306"
"8",-24.768,134.241,2003-09-11,"23308"
"202",-21.982,135.361,2003-10-19,"23393"
"199",-22.168,135.239,2003-10-19,"23394"
"200",-22.46,135.449,2003-10-19,"23394"
"289",-22.865,135.017,2005-12-24,"23394"
"15",-23.052,135.952,2003-10-19,"23395"
"28",-23.759,135.968,2003-10-25,"23395"
"160",-23.746,135.591,2005-12-24,"23395"
"161",-23.963,135.254,2005-12-24,"23395"
"162",-23.964,135.394,2005-12-24,"23395"
"190",-23.538,135.974,2003-09-11,"23395"
"201",-23.102,135.597,2003-10-19,"23395"
"205",-23.279,135.877,2003-10-25,"23395"
"45",-24.249,135.684,2004-03-21,"23396"
"46",-24.823,135.739,2004-03-21,"23396"
"145",-24.253,135.728,2005-04-02,"23396"
"159",-24.196,135.126,2005-12-24,"23396"
"196",-24.589,135.116,2003-10-19,"23396"
"197",-24.23,135.3,2003-10-19,"23396"
"247",-24.246,135.315,2005-02-02,"23396"
"285",-24.284,135.345,2005-10-07,"23396"
"143",-25.008,135.905,2005-04-02,"23397"
"31",-28.83,135.506,2003-10-28,"23400"
"60",-28.837,135.524,2004-08-13,"23400"
"208",-28.093,135.691,2003-10-28,"23400"
"207",-22.863,136.729,2003-10-25,"23482"
"6",-23.813,136.634,2003-09-11,"23483"
"14",-23.406,136.046,2003-10-19,"23483"
"16",-23.642,136.266,2003-10-19,"23483"
"17",-23.643,136.385,2003-10-19,"23483"
"18",-23.29,136.536,2003-10-19,"23483"
"19",-23.695,136.557,2003-10-19,"23483"
"20",-23.381,136.725,2003-10-19,"23483"
"22",-23.836,136.852,2003-10-19,"23483"
"23",-23.925,136.98,2003-10-19,"23483"
"29",-23.672,136.233,2003-10-25,"23483"
"163",-23.431,136.582,2005-12-24,"23483"
"164",-23.318,136.654,2005-12-24,"23483"
"165",-23.923,136.779,2005-12-24,"23483"
"188",-23.976,136.185,2003-09-11,"23483"
"189",-23.267,136.119,2003-09-11,"23483"
"206",-23.252,136.441,2003-10-25,"23483"
"276",-23.883,136.691,2005-04-02,"23483"
"290",-23.685,136.3,2005-12-24,"23483"
"7",-24.04,136.146,2003-09-11,"23484"
"186",-24.348,136.251,2003-09-11,"23484"
"187",-24.081,136.218,2003-09-11,"23484"
"41",-25.995,136.518,2004-03-21,"23485"
"42",-25.755,136.702,2004-03-21,"23485"
"117",-25.45,136.972,2005-02-19,"23485"
"118",-25.402,136.658,2005-02-19,"23485"
"166",-25.376,136.809,2005-12-24,"23485"
"236",-27.9,136.739,2005-01-15,"23487"
"244",-27.978,136.976,2005-02-02,"23487"
"234",-28.33,136.912,2005-01-15,"23488"
"235",-28.186,136.665,2005-01-15,"23488"
"293",-29.361,136.607,2006-01-26,"23489"
"294",-29.214,136.752,2006-01-26,"23489"
"295",-29.233,136.63,2006-01-26,"23489"
"115",-22.104,137.917,2005-02-19,"23570"
"116",-22.524,137.791,2005-02-19,"23570"
"262",-22.616,137.691,2005-02-19,"23570"
"4",-23.941,137.881,2003-09-11,"23571"
"5",-23.784,137.079,2003-09-11,"23571"
"21",-23.892,137.308,2003-10-19,"23571"
"152",-23.755,137.54,2005-10-07,"23571"
"157",-23.755,137.54,2005-10-07,"23571"
"179",-23.419,137.411,2003-10-25,"23571"
"180",-23.449,137.629,2003-10-25,"23571"
"181",-23.49,137.823,2003-10-25,"23571"
"182",-23.412,137.926,2003-10-25,"23571"
"176",-24.142,137.439,2003-10-19,"23572"
"177",-24.248,137.535,2003-10-19,"23572"
"178",-24.275,137.644,2003-10-19,"23572"
"185",-24.149,137.863,2003-09-11,"23572"
"281",-24.882,137.061,2005-10-07,"23572"
"43",-25.511,137.217,2004-03-21,"23573"
"44",-25.938,137.644,2004-03-21,"23573"
"144",-25.964,137.696,2005-04-02,"23573"
"153",-25.568,137.725,2005-10-07,"23573"
"263",-25.714,137.704,2005-02-19,"23573"
"282",-25.389,137.867,2005-10-07,"23573"
"47",-26.934,137.409,2004-03-21,"23574"
"66",-26.68,137.959,2005-01-15,"23574"
"67",-26.572,137.618,2005-01-15,"23574"
"223",-26.046,137.556,2004-03-21,"23574"
"3",-27.018,137.601,2003-08-04,"23575"
"68",-27.847,137.034,2005-01-15,"23575"
