ID,latitude,longitude,date,grid_id
"134",-30.4071,19.5298,2016-01-04,"13194"
"135",-32.4962,19.8223,2016-01-04,"13196"
"34",-25.0775,20.1462,2007-09-11,"13277"
"35",-25.2391,20.4567,2007-09-11,"13277"
"18",-26.8381,20.0721,2007-06-25,"13278"
"49",-26.906,20.16,2010-08-29,"13278"
"136",-29.9781,20.0125,2016-01-04,"13281"
"111",-27.1487,21.7238,2015-10-04,"13367"
"83",-27.0146,22.0106,2013-09-19,"13455"
"173",-28.8878,23.6468,2016-12-05,"13544"
"172",-29.4323,23.3673,2016-12-05,"13545"
"174",-29.6656,23.8935,2016-12-05,"13545"
"112",-26.0557,24.8245,2015-10-10,"13630"
"145",-26.0362,24.8802,2016-09-11,"13630"
"39",-27.7973,24.5447,2007-09-26,"13631"
"175",-28.1879,24.2553,2016-12-05,"13632"
"108",-25.9727,25.2633,2015-08-15,"13717"
"19",-26.9881,25.5768,2007-07-27,"13718"
"32",-26.091,25.239,2007-09-07,"13718"
"33",-26.8107,25.503,2007-09-07,"13718"
"40",-26.359,25.1812,2007-09-26,"13718"
"63",-26.9204,25.4298,2012-08-15,"13718"
"70",-26.3316,25.8695,2012-09-28,"13718"
"73",-26.7075,25.0715,2012-10-08,"13718"
"77",-26.6454,25.9317,2012-10-21,"13718"
"85",-26.5296,25.4206,2013-10-07,"13718"
"91",-26.8962,25.5705,2013-11-12,"13718"
"109",-26.6092,25.5412,2015-08-15,"13718"
"138",-26.1245,25.3628,2016-07-31,"13718"
"139",-26.1393,25.9076,2016-07-31,"13718"
"146",-26.0215,25.3161,2016-09-11,"13718"
"147",-26.4043,25.8298,2016-09-11,"13718"
"151",-26.7578,25.1293,2016-09-26,"13718"
"4",-27.7536,25.5191,2006-09-25,"13719"
"6",-27.716,25.5291,2006-11-10,"13719"
"9",-27.9819,25.7331,2006-12-03,"13719"
"52",-27.9299,25.6718,2011-08-23,"13719"
"69",-27.2924,25.7382,2012-09-28,"13719"
"74",-27.3088,25.4998,2012-10-08,"13719"
"99",-27.7437,25.8703,2014-09-30,"13719"
"101",-27.1384,25.5047,2014-10-16,"13719"
"102",-27.6987,25.9873,2014-10-16,"13719"
"105",-27.5327,25.7533,2014-10-17,"13719"
"110",-27.0104,25.7314,2015-08-20,"13719"
"115",-27.8474,25.4681,2015-10-12,"13719"
"116",-27.6537,25.9654,2015-10-12,"13719"
"120",-27.8613,25.4535,2015-11-02,"13719"
"148",-27.4646,25.3628,2016-09-14,"13719"
"153",-27.6413,25.425,2016-09-26,"13719"
"169",-27.1146,25.8832,2016-12-01,"13719"
"20",-28.0749,25.9725,2007-07-27,"13720"
"24",-28.1994,25.9321,2007-08-14,"13720"
"27",-28.3382,25.9882,2007-08-23,"13720"
"47",-28.3332,25.9098,2010-08-22,"13720"
"50",-28.6527,25.6164,2010-11-08,"13720"
"79",-28.6813,25.6657,2012-10-30,"13720"
"84",-28.7532,25.7831,2013-09-19,"13720"
"94",-28.2936,25.3876,2014-08-27,"13720"
"104",-28.8194,25.6948,2014-10-17,"13720"
"118",-28.0688,25.98,2015-11-01,"13720"
"121",-28.8575,25.7899,2015-11-02,"13720"
"149",-28.1126,25.6741,2016-09-15,"13720"
"152",-28.304,25.4095,2016-09-26,"13720"
"154",-28.2745,25.9855,2016-10-11,"13720"
"159",-28.2151,25.7517,2016-11-01,"13720"
"82",-29.1584,25.9213,2013-08-29,"13721"
"89",-29.1902,25.7734,2013-11-07,"13721"
"178",-29.4519,25.8902,2016-12-12,"13721"
"64",-26.9282,26.1073,2012-08-15,"13806"
"72",-26.5931,26.3877,2012-09-28,"13806"
"132",-26.2563,26.5066,2015-12-14,"13806"
"2",-27.8572,26.6239,2006-08-29,"13807"
"13",-27.7513,26.6787,2006-12-03,"13807"
"37",-27.9211,26.5413,2007-09-23,"13807"
"53",-27.7623,26.0482,2011-08-23,"13807"
"71",-27.0506,26.3462,2012-09-28,"13807"
"81",-27.7924,26.4672,2012-10-30,"13807"
"114",-27.9651,26.3457,2015-10-10,"13807"
"119",-27.7368,26.6967,2015-11-01,"13807"
"140",-27.6413,26.3746,2016-08-03,"13807"
"150",-27.8033,26.4213,2016-09-15,"13807"
"155",-27.9211,26.5148,2016-10-11,"13807"
"157",-27.8475,26.4058,2016-10-29,"13807"
"162",-27.8106,26.3436,2016-11-03,"13807"
"165",-27.8612,26.5903,2016-11-17,"13807"
"167",-27.8145,26.7218,2016-11-30,"13807"
"170",-27.8301,26.3765,2016-12-01,"13807"
"1",-28.1679,26.186,2006-08-29,"13808"
"3",-28.1679,26.7533,2006-08-29,"13808"
"5",-28.3279,26.9225,2006-09-25,"13808"
"8",-28.2809,26.8628,2006-11-10,"13808"
"10",-28.1373,26.181,2006-12-03,"13808"
"12",-28.0102,26.5543,2006-12-03,"13808"
"14",-28.1279,26.9822,2006-12-03,"13808"
"17",-28.4692,26.0168,2006-12-16,"13808"
"21",-28.413,26.8022,2007-07-27,"13808"
"25",-28.6216,26.5372,2007-08-14,"13808"
"30",-28.8302,26.5937,2007-08-23,"13808"
"31",-28.3822,26.8033,2007-08-23,"13808"
"36",-28.0327,26.0261,2007-09-23,"13808"
"38",-28.1736,26.9758,2007-09-23,"13808"
"41",-28.4294,26.988,2007-11-26,"13808"
"44",-28.6034,26.0828,2008-09-23,"13808"
"45",-28.3492,26.3091,2008-09-23,"13808"
"46",-28.0147,26.7193,2008-09-23,"13808"
"48",-28.197,26.7957,2010-08-22,"13808"
"51",-28.4327,26.4801,2010-11-08,"13808"
"54",-28.4327,26.2697,2011-08-23,"13808"
"55",-28.6841,26.7791,2011-08-23,"13808"
"66",-28.6632,26.7599,2012-08-15,"13808"
"67",-28.2177,26.2642,2012-09-20,"13808"
"68",-28.7648,26.9417,2012-09-20,"13808"
"75",-28.3807,26.2184,2012-10-08,"13808"
"76",-28.7597,26.633,2012-10-08,"13808"
"80",-28.5506,26.0941,2012-10-30,"13808"
"90",-28.9733,26.2494,2013-11-07,"13808"
"96",-28.605,26.47,2014-08-27,"13808"
"97",-28.1276,26.704,2014-08-27,"13808"
"100",-28.9059,26.1336,2014-09-30,"13808"
"103",-28.6326,26.2213,2014-10-16,"13808"
"106",-28.9024,26.3054,2014-11-15,"13808"
"113",-28.3525,26.0239,2015-10-10,"13808"
"117",-28.1518,26.0385,2015-10-14,"13808"
"123",-28.1103,26.4188,2015-11-21,"13808"
"130",-28.8851,26.1702,2015-12-06,"13808"
"133",-28.1518,26.4042,2015-12-24,"13808"
"137",-28.2764,26.7845,2016-01-06,"13808"
"143",-28.304,26.1567,2016-09-05,"13808"
"144",-28.1567,26.7483,2016-09-05,"13808"
"156",-28.0684,26.0477,2016-10-29,"13808"
"158",-28.4807,26.8261,2016-10-29,"13808"
"160",-28.254,26.5574,2016-11-01,"13808"
"161",-28.1217,26.0065,2016-11-03,"13808"
"163",-28.0945,26.1792,2016-11-17,"13808"
"168",-28.4212,26.8041,2016-11-30,"13808"
"176",-28.4894,26.3624,2016-12-06,"13808"
"7",-29.0152,26.2208,2006-11-10,"13809"
"11",-29.1212,26.2905,2006-12-03,"13809"
"28",-29.5866,26.027,2007-08-23,"13809"
"29",-29.3296,26.3375,2007-08-23,"13809"
"56",-29.0383,26.5038,2012-08-11,"13809"
"57",-29.7417,26.6112,2012-08-11,"13809"
"65",-29.2493,26.2394,2012-08-15,"13809"
"78",-29.1094,26.1044,2012-10-21,"13809"
"86",-29.0546,26.1263,2013-10-12,"13809"
"87",-29.3867,26.1409,2013-10-30,"13809"
"88",-29.1722,26.1555,2013-10-30,"13809"
"92",-29.2552,26.0093,2014-07-25,"13809"
"93",-29.1307,26.1848,2014-07-25,"13809"
"95",-29.0684,26.2213,2014-08-27,"13809"
"122",-29.1895,26.0385,2015-11-21,"13809"
"124",-29.1618,26.3603,2015-11-25,"13809"
"164",-29.3856,26.3765,2016-11-17,"13809"
"177",-29.0681,26.4488,2016-12-06,"13809"
"131",-30.1908,26.2494,2015-12-11,"13810"
"15",-27.9961,27.3057,2006-12-03,"13895"
"127",-27.6399,27.8376,2015-11-26,"13895"
"141",-27.1112,27.3554,2016-08-03,"13895"
"166",-27.7679,27.2316,2016-11-17,"13895"
"171",-27.4101,27.1987,2016-12-01,"13895"
"26",-28.4433,27.0034,2007-08-14,"13896"
"42",-28.1752,27.5538,2007-11-26,"13896"
"58",-28.882,27.2804,2012-08-11,"13896"
"125",-28.1933,27.0477,2015-11-25,"13896"
"22",-26.6347,28.1119,2007-07-27,"13982"
"23",-26.2937,28.2001,2007-07-27,"13982"
"16",-27.8784,28.7091,2006-12-03,"13983"
"126",-27.9443,28.8321,2015-11-25,"13983"
"43",-28.4294,28.0205,2007-11-26,"13984"
"128",-28.138,28.9492,2015-11-26,"13984"
"142",-28.0242,28.9121,2016-08-03,"13984"
"98",-25.4954,29.717,2014-08-29,"14069"
"62",-26.6781,29.6103,2012-08-11,"14070"
"60",-27.7566,29.4946,2012-08-11,"14071"
"61",-27.2173,29.6103,2012-08-11,"14071"
"129",-27.2248,29.3587,2015-11-26,"14071"
"59",-28.374,29.2054,2012-08-11,"14072"
"107",-26.1664,30.1778,2015-08-13,"14158"
