id,latitude,longitude,Date,grid_id
"14740",31.005,34.823,16/12/2006,"14452"
"14832",31.031,34.664,10/02/2009,"14452"
"15432",31.178,34.78,12/12/2010,"14452"
"15757",31.269,34.523,09/03/2006,"14452"
"16030",31.315,34.718,10/02/2009,"14452"
"16599",31.483,34.587,12/12/2010,"14452"
"14014",30.8,34.894,16/12/2006,"14453"
"10480",28.349,35,14/05/2013,"14455"
"18398",32.372,35.792,06/06/2010,"14539"
"14729",31.001,35.952,27/03/2009,"14540"
"14730",31.001,35.952,02/11/2009,"14540"
"14943",31.06,35.763,23/06/2010,"14540"
"14958",31.065,35.242,27/03/2009,"14540"
"14959",31.065,35.853,17/02/2012,"14540"
"15182",31.107,35.963,23/05/2010,"14540"
"15280",31.135,35.845,12/04/2011,"14540"
"15431",31.177,35.955,10/02/2009,"14540"
"15666",31.24,35.244,09/03/2006,"14540"
"16291",31.386,35.932,10/02/2009,"14540"
"16646",31.496,35.989,10/02/2009,"14540"
"16858",31.541,35.573,10/02/2009,"14540"
"12400",30.097,35.974,05/01/2007,"14541"
"12499",30.146,35.607,12/04/2011,"14541"
"12608",30.202,35.982,28/02/2012,"14541"
"12745",30.271,35.973,05/01/2007,"14541"
"12827",30.301,35.902,14/03/2006,"14541"
"13298",30.533,35.713,12/04/2011,"14541"
"13354",30.561,35.597,10/02/2009,"14541"
"13364",30.564,35.642,23/06/2010,"14541"
"13369",30.567,35.687,10/06/2008,"14541"
"13370",30.567,35.687,13/06/2011,"14541"
"13379",30.574,35.821,15/04/2009,"14541"
"13388",30.577,35.866,27/03/2009,"14541"
"13904",30.79,35.931,09/03/2006,"14541"
"14279",30.885,35.761,27/01/2012,"14541"
"11579",29.604,35.774,13/06/2011,"14542"
"11815",29.796,35.522,16/04/2009,"14542"
"12050",29.92,35.282,16/12/2006,"14542"
"10433",28.311,35.169,27/02/2009,"14543"
"8292",27.014,35.939,14/01/2009,"14544"
"9196",27.475,35.848,16/12/2006,"14544"
"9780",27.784,35.988,16/12/2006,"14544"
"27459",36.315,36.79,11/06/2007,"14623"
"23816",35.257,36.828,11/06/2007,"14624"
"21117",34.077,36.944,15/09/2013,"14625"
"21180",34.102,36.775,23/09/2008,"14625"
"21532",34.288,36.793,22/02/2010,"14625"
"22069",34.522,36.982,15/07/2008,"14625"
"19545",33.084,36.82,25/05/2008,"14626"
"19614",33.153,36.769,14/07/2009,"14626"
"19670",33.21,36.528,30/06/2007,"14626"
"19701",33.238,36.408,03/08/2008,"14626"
"19719",33.247,36.549,04/04/2008,"14626"
"19723",33.25,36.597,19/04/2008,"14626"
"19724",33.25,36.597,10/06/2008,"14626"
"19725",33.25,36.597,29/06/2008,"14626"
"19726",33.25,36.597,04/08/2008,"14626"
"19735",33.257,36.691,21/03/2006,"14626"
"19736",33.257,36.691,13/07/2009,"14626"
"19812",33.32,36.545,20/07/2008,"14626"
"19827",33.329,36.688,26/09/2008,"14626"
"19828",33.329,36.688,22/02/2010,"14626"
"19829",33.329,36.688,15/09/2013,"14626"
"19833",33.332,36.735,09/06/2013,"14626"
"19840",33.338,36.83,03/06/2013,"14626"
"19863",33.355,36.52,24/06/2012,"14626"
"19867",33.358,36.567,27/09/2008,"14626"
"19872",33.361,36.615,25/05/2008,"14626"
"19874",33.367,36.709,04/04/2008,"14626"
"19879",33.37,36.757,06/06/2008,"14626"
"19883",33.373,36.805,30/09/2008,"14626"
"19891",33.376,36.852,07/04/2008,"14626"
"19892",33.376,36.852,05/06/2009,"14626"
"19893",33.376,36.852,13/09/2009,"14626"
"19898",33.379,36.9,14/03/2006,"14626"
