id,latitude,longitude,date,grid_id
"56",33.058601,-104.17,2003-12-15,"2218"
"61",33.258999,-104.689,2003-12-15,"2218"
"63",33.292801,-104.784,2003-12-15,"2218"
"65",33.308399,-104.695,2003-12-15,"2218"
"70",33.339699,-104.623,2003-12-15,"2218"
"75",33.636299,-104.534,2003-12-15,"2218"
"76",33.641899,-104.55,2003-12-15,"2218"
"119",32.7216,-104.31,2004-02-19,"2219"
"352",32.720699,-104.322,2008-12-14,"2219"
"355",32.752102,-104.306,2008-12-14,"2219"
"356",32.752899,-104.336,2008-12-14,"2219"
"357",32.767601,-104.255,2008-12-14,"2219"
"360",32.799301,-104.283,2008-12-14,"2219"
"361",32.812302,-104.374,2008-12-14,"2219"
"363",32.850399,-104.382,2008-12-14,"2219"
"365",32.874199,-104.397,2008-12-14,"2219"
"367",32.913502,-104.298,2008-12-14,"2219"
"368",32.9277,-104.346,2008-12-14,"2219"
"372",32.9753,-104.374,2008-12-14,"2219"
"10",34.0508,-103.692,2001-04-22,"2305"
"11",34.236698,-103.594,2001-04-22,"2305"
"13",34.396,-103.841,2001-04-22,"2305"
"22",34.593102,-103.731,2001-02-24,"2305"
"88",34.000599,-103.134,2003-12-15,"2305"
"89",34.0303,-103.418,2003-12-15,"2305"
"92",34.0868,-103.192,2003-12-15,"2305"
"93",34.104698,-103.202,2003-12-15,"2305"
"96",34.2304,-103.545,2003-12-15,"2305"
"97",34.250401,-103.66,2003-12-15,"2305"
"98",34.3284,-103.15,2003-12-15,"2305"
"99",34.437698,-103.337,2003-12-15,"2305"
"100",34.521,-103.296,2003-12-15,"2305"
"101",34.604301,-103.306,2003-12-15,"2305"
"131",34.2258,-103.567,2004-02-19,"2305"
"132",34.2668,-103.76,2004-02-19,"2305"
"133",34.342499,-103.367,2004-02-19,"2305"
"134",34.412399,-103.945,2004-02-19,"2305"
"135",34.467499,-103.317,2004-02-19,"2305"
"136",34.626598,-103.586,2004-02-19,"2305"
"208",34.089401,-103.048,2006-01-01,"2305"
"213",34.2561,-103.679,2006-01-01,"2305"
"215",34.3423,-103.671,2006-01-01,"2305"
"217",34.460701,-103.033,2006-01-01,"2305"
"412",34.004501,-103.395,2008-12-14,"2305"
"413",34.0228,-103.218,2008-12-14,"2305"
"414",34.030602,-103.361,2008-12-14,"2305"
"417",34.0401,-103.4,2008-12-14,"2305"
"418",34.054401,-103.441,2008-12-14,"2305"
"420",34.088902,-103.362,2008-12-14,"2305"
"422",34.166302,-103.617,2008-12-14,"2305"
"423",34.169102,-103.385,2008-12-14,"2305"
"424",34.241199,-103.533,2008-12-14,"2305"
"425",34.2579,-103.541,2008-12-14,"2305"
"426",34.2757,-103.604,2008-12-14,"2305"
"428",34.2995,-103.595,2008-12-14,"2305"
"429",34.4506,-103.275,2008-12-14,"2305"
"430",34.476799,-103.297,2008-12-14,"2305"
"432",34.669498,-103.031,2008-12-14,"2305"
"55",33.029499,-103.088,2003-12-15,"2306"
"59",33.214802,-103.389,2003-12-15,"2306"
"62",33.2668,-103.374,2003-12-15,"2306"
"66",33.308399,-103.374,2003-12-15,"2306"
"67",33.318802,-103.28,2003-12-15,"2306"
"71",33.4548,-103.392,2003-12-15,"2306"
"72",33.472198,-103.584,2003-12-15,"2306"
"73",33.493999,-103.262,2003-12-15,"2306"
"74",33.605099,-103.233,2003-12-15,"2306"
"77",33.690899,-103.392,2003-12-15,"2306"
"79",33.719601,-103.493,2003-12-15,"2306"
"81",33.7612,-103.212,2003-12-15,"2306"
"82",33.804001,-103.053,2003-12-15,"2306"
"83",33.839199,-103.228,2003-12-15,"2306"
"85",33.947601,-103.392,2003-12-15,"2306"
"86",33.979801,-103.644,2003-12-15,"2306"
"87",33.995399,-103.322,2003-12-15,"2306"
"126",33.817699,-103.007,2004-02-19,"2306"
"127",33.899399,-103.552,2004-02-19,"2306"
"129",33.9827,-103.688,2004-02-19,"2306"
"191",33.7892,-103.232,2006-01-01,"2306"
"192",33.790901,-103.026,2006-01-01,"2306"
"199",33.831402,-103.02,2006-01-01,"2306"
"376",33.024101,-103.039,2008-12-14,"2306"
"377",33.075802,-103.057,2008-12-14,"2306"
"407",33.8372,-103.056,2008-12-14,"2306"
"14",32.0467,-103.581,2001-02-24,"2307"
"31",32.059502,-103.525,2003-12-15,"2307"
"32",32.137501,-103.514,2003-12-15,"2307"
"36",32.220798,-103.488,2003-12-15,"2307"
"37",32.2416,-103.858,2003-12-15,"2307"
"39",32.288399,-103.639,2003-12-15,"2307"
"42",32.356098,-103.139,2003-12-15,"2307"
"43",32.4081,-103.134,2003-12-15,"2307"
"44",32.460201,-103.145,2003-12-15,"2307"
"47",32.496601,-103.53,2003-12-15,"2307"
"48",32.553799,-103.811,2003-12-15,"2307"
"50",32.621498,-103.858,2003-12-15,"2307"
"52",32.652699,-103.707,2003-12-15,"2307"
"117",32.120499,-103.259,2004-02-19,"2307"
"246",32.688202,-103.028,2005-11-27,"2307"
"254",32.8489,-103.021,2005-11-27,"2307"
"9",34.037601,-102.138,2001-04-22,"2393"
"12",34.250401,-102.592,2001-04-22,"2393"
"21",34.049702,-102.436,2001-02-24,"2393"
"23",34.593102,-102.903,2001-02-24,"2393"
"90",34.068298,-102.265,2003-12-15,"2393"
"91",34.069401,-102.709,2003-12-15,"2393"
"95",34.224899,-102.914,2003-12-15,"2393"
"102",34.677101,-102.291,2003-12-15,"2393"
"103",34.843601,-102.515,2003-12-15,"2393"
"104",34.989399,-102.031,2003-12-15,"2393"
"130",34.078201,-102.66,2004-02-19,"2393"
"206",34.007401,-102.599,2006-01-01,"2393"
"207",34.047298,-102.988,2006-01-01,"2393"
"209",34.0895,-102.652,2006-01-01,"2393"
"210",34.099201,-102.882,2006-01-01,"2393"
"211",34.1147,-102.854,2006-01-01,"2393"
"212",34.220901,-102.875,2006-01-01,"2393"
"214",34.341801,-102.783,2006-01-01,"2393"
"216",34.360298,-102.98,2006-01-01,"2393"
"218",34.701099,-102.367,2006-01-01,"2393"
"219",34.741501,-102.412,2006-01-01,"2393"
"220",34.755798,-102.491,2006-01-01,"2393"
"221",34.7962,-102.444,2006-01-01,"2393"
"222",34.858101,-102.356,2006-01-01,"2393"
"223",34.895,-102.446,2006-01-01,"2393"
"277",34.645401,-102.09,2008-04-10,"2393"
"415",34.032299,-102.57,2008-12-14,"2393"
"416",34.034698,-102.454,2008-12-14,"2393"
"419",34.060902,-102.579,2008-12-14,"2393"
"421",34.0942,-102.535,2008-12-14,"2393"
"427",34.285198,-102.767,2008-12-14,"2393"
"431",34.579102,-102.998,2008-12-14,"2393"
