ID,longitude,latitude,date,grid_id
"7503",-15.5,23.5,08/05/2007,"10060"
"18517",-15.5,23.5,24/04/2008,"10060"
"18601",-15.5,23.5,25/04/2008,"10060"
"22867",-15.5,23.5,08/08/2008,"10060"
"29050",-15.5,23.5,12/12/2008,"10060"
"29633",-15.5,23.5,19/12/2008,"10060"
"30839",-15.5,23.5,10/01/2009,"10060"
"32026",-15.5,23.5,27/01/2009,"10060"
"32144",-15.5,23.5,28/01/2009,"10060"
"32263",-15.5,23.5,29/01/2009,"10060"
"38975",-15.5,23.5,10/07/2009,"10060"
"772",-15.5,22.5,13/04/2006,"10061"
"2648",-15.5,22.5,01/07/2006,"10061"
"7515",-15.5,22.5,08/05/2007,"10061"
"12186",-15.5,22.5,05/01/2008,"10061"
"17272",-15.5,22.5,02/04/2008,"10061"
"17330",-15.5,22.5,03/04/2008,"10061"
"17797",-15.5,22.5,11/04/2008,"10061"
"18470",-15.5,22.5,23/04/2008,"10061"
"18755",-15.5,22.5,29/04/2008,"10061"
"22626",-15.5,22.5,01/08/2008,"10061"
"22698",-15.5,22.5,03/08/2008,"10061"
"22722",-15.5,22.5,04/08/2008,"10061"
"22870",-15.5,22.5,08/08/2008,"10061"
"22925",-15.5,22.5,09/08/2008,"10061"
"25127",-15.5,22.5,24/09/2008,"10061"
"25786",-15.5,22.5,06/10/2008,"10061"
"26363",-15.5,22.5,19/10/2008,"10061"
"26416",-15.5,22.5,20/10/2008,"10061"
"26546",-15.5,22.5,22/10/2008,"10061"
"27042",-15.5,22.5,29/10/2008,"10061"
"29063",-15.5,22.5,12/12/2008,"10061"
"29385",-15.5,22.5,16/12/2008,"10061"
"29643",-15.5,22.5,19/12/2008,"10061"
"31246",-15.5,22.5,17/01/2009,"10061"
"32431",-15.5,22.5,31/01/2009,"10061"
"33945",-15.5,22.5,24/02/2009,"10061"
"35581",-15.5,22.5,01/04/2009,"10061"
"38981",-15.5,22.5,10/07/2009,"10061"
"39770",-15.5,22.5,20/08/2009,"10061"
"40080",-15.5,22.5,12/09/2009,"10061"
"40369",-15.5,22.5,20/09/2009,"10061"
"40398",-15.5,22.5,21/09/2009,"10061"
"40430",-15.5,22.5,22/09/2009,"10061"
"41460",-15.5,22.5,30/10/2009,"10061"
"7530",-15.5,21.5,08/05/2007,"10062"
"15650",-15.5,21.5,16/03/2008,"10062"
"16807",-15.5,21.5,29/03/2008,"10062"
"16940",-15.5,21.5,30/03/2008,"10062"
"22726",-15.5,21.5,04/08/2008,"10062"
"25131",-15.5,21.5,24/09/2008,"10062"
"27045",-15.5,21.5,29/10/2008,"10062"
"29077",-15.5,21.5,12/12/2008,"10062"
"29239",-15.5,21.5,14/12/2008,"10062"
"29394",-15.5,21.5,16/12/2008,"10062"
"30855",-15.5,21.5,10/01/2009,"10062"
"30967",-15.5,21.5,12/01/2009,"10062"
"31319",-15.5,21.5,18/01/2009,"10062"
"31631",-15.5,21.5,23/01/2009,"10062"
"34441",-15.5,21.5,03/03/2009,"10062"
"36723",-15.5,21.5,25/04/2009,"10062"
"38766",-15.5,21.5,28/06/2009,"10062"
"39773",-15.5,21.5,20/08/2009,"10062"
"39897",-15.5,21.5,30/08/2009,"10062"
"40601",-15.5,21.5,25/09/2009,"10062"
"41463",-15.5,21.5,30/10/2009,"10062"
"773",-15.5,20.5,13/04/2006,"10063"
"16629",-15.5,20.5,27/03/2008,"10063"
"16713",-15.5,20.5,28/03/2008,"10063"
"16816",-15.5,20.5,29/03/2008,"10063"
"24195",-15.5,20.5,05/09/2008,"10063"
"28644",-15.5,20.5,29/11/2008,"10063"
"28907",-15.5,20.5,10/12/2008,"10063"
"29088",-15.5,20.5,12/12/2008,"10063"
"29334",-15.5,20.5,15/12/2008,"10063"
"30857",-15.5,20.5,10/01/2009,"10063"
"30971",-15.5,20.5,12/01/2009,"10063"
"31406",-15.5,20.5,19/01/2009,"10063"
"33092",-15.5,20.5,09/02/2009,"10063"
"36725",-15.5,20.5,25/04/2009,"10063"
"38770",-15.5,20.5,28/06/2009,"10063"
"40246",-15.5,20.5,17/09/2009,"10063"
"40400",-15.5,20.5,21/09/2009,"10063"
"40958",-15.5,20.5,05/10/2009,"10063"
"457",-15.5,19.5,29/03/2006,"10064"
"3758",-15.5,19.5,02/09/2006,"10064"
"5870",-15.5,19.5,27/02/2007,"10064"
"7548",-15.5,19.5,08/05/2007,"10064"
"16640",-15.5,19.5,27/03/2008,"10064"
"16726",-15.5,19.5,28/03/2008,"10064"
"16960",-15.5,19.5,30/03/2008,"10064"
"30978",-15.5,19.5,12/01/2009,"10064"
"33104",-15.5,19.5,09/02/2009,"10064"
"36726",-15.5,19.5,25/04/2009,"10064"
"38771",-15.5,19.5,28/06/2009,"10064"
"40329",-15.5,19.5,19/09/2009,"10064"
"40381",-15.5,19.5,20/09/2009,"10064"
"42178",-15.5,19.5,20/11/2009,"10064"
"3762",-15.5,18.5,02/09/2006,"10065"
"16650",-15.5,18.5,27/03/2008,"10065"
"16736",-15.5,18.5,28/03/2008,"10065"
"30987",-15.5,18.5,12/01/2009,"10065"
"32198",-15.5,18.5,28/01/2009,"10065"
"34451",-15.5,18.5,03/03/2009,"10065"
"35964",-15.5,18.5,08/04/2009,"10065"
"38004",-15.5,18.5,01/06/2009,"10065"
"16854",-15.5,17.5,29/03/2008,"10066"
"24787",-15.5,17.5,16/09/2008,"10066"
"1569",-15.5,16.5,19/05/2006,"10067"
"36698",-15.5,16.5,24/04/2009,"10067"
"37759",-15.5,16.5,21/05/2009,"10067"
"7488",-14.5,25.5,08/05/2007,"10146"
"29616",-14.5,25.5,19/12/2008,"10146"
"31891",-14.5,25.5,26/01/2009,"10146"
"33807",-14.5,25.5,22/02/2009,"10146"
"7260",-14.5,24.5,02/05/2007,"10147"
"7497",-14.5,24.5,08/05/2007,"10147"
"17322",-14.5,24.5,03/04/2008,"10147"
"27523",-14.5,24.5,06/11/2008,"10147"
"29622",-14.5,24.5,19/12/2008,"10147"
"32012",-14.5,24.5,27/01/2009,"10147"
"32134",-14.5,24.5,28/01/2009,"10147"
"32250",-14.5,24.5,29/01/2009,"10147"
"3808",-14.5,23.5,05/09/2006,"10148"
"3912",-14.5,23.5,12/09/2006,"10148"
"6552",-14.5,23.5,29/03/2007,"10148"
"7504",-14.5,23.5,08/05/2007,"10148"
"18518",-14.5,23.5,24/04/2008,"10148"
"18750",-14.5,23.5,29/04/2008,"10148"
"22720",-14.5,23.5,04/08/2008,"10148"
"22868",-14.5,23.5,08/08/2008,"10148"
"25125",-14.5,23.5,24/09/2008,"10148"
"25785",-14.5,23.5,06/10/2008,"10148"
"27627",-14.5,23.5,08/11/2008,"10148"
"29051",-14.5,23.5,12/12/2008,"10148"
"29381",-14.5,23.5,16/12/2008,"10148"
"29634",-14.5,23.5,19/12/2008,"10148"
"30840",-14.5,23.5,10/01/2009,"10148"
"31240",-14.5,23.5,17/01/2009,"10148"
"31454",-14.5,23.5,20/01/2009,"10148"
"31564",-14.5,23.5,22/01/2009,"10148"
"31913",-14.5,23.5,26/01/2009,"10148"
"32027",-14.5,23.5,27/01/2009,"10148"
"32145",-14.5,23.5,28/01/2009,"10148"
"32264",-14.5,23.5,29/01/2009,"10148"
"32417",-14.5,23.5,31/01/2009,"10148"
"33053",-14.5,23.5,09/02/2009,"10148"
"38849",-14.5,23.5,05/07/2009,"10148"
"38976",-14.5,23.5,10/07/2009,"10148"
"41005",-14.5,23.5,06/10/2009,"10148"
"41459",-14.5,23.5,30/10/2009,"10148"
"44129",-14.5,23.5,31/01/2010,"10148"
"6554",-14.5,22.5,29/03/2007,"10149"
"7516",-14.5,22.5,08/05/2007,"10149"
"9285",-14.5,22.5,15/08/2007,"10149"
"15646",-14.5,22.5,16/03/2008,"10149"
"16798",-14.5,22.5,29/03/2008,"10149"
"17273",-14.5,22.5,02/04/2008,"10149"
"17331",-14.5,22.5,03/04/2008,"10149"
"18756",-14.5,22.5,29/04/2008,"10149"
"20200",-14.5,22.5,04/06/2008,"10149"
"21568",-14.5,22.5,29/06/2008,"10149"
"22627",-14.5,22.5,01/08/2008,"10149"
"22871",-14.5,22.5,08/08/2008,"10149"
"22926",-14.5,22.5,09/08/2008,"10149"
"23228",-14.5,22.5,16/08/2008,"10149"
"26364",-14.5,22.5,19/10/2008,"10149"
"26547",-14.5,22.5,22/10/2008,"10149"
"26700",-14.5,22.5,25/10/2008,"10149"
"27043",-14.5,22.5,29/10/2008,"10149"
"29064",-14.5,22.5,12/12/2008,"10149"
"29323",-14.5,22.5,15/12/2008,"10149"
"29386",-14.5,22.5,16/12/2008,"10149"
"29644",-14.5,22.5,19/12/2008,"10149"
"30849",-14.5,22.5,10/01/2009,"10149"
"31247",-14.5,22.5,17/01/2009,"10149"
"31704",-14.5,22.5,24/01/2009,"10149"
"31928",-14.5,22.5,26/01/2009,"10149"
"32353",-14.5,22.5,30/01/2009,"10149"
"32432",-14.5,22.5,31/01/2009,"10149"
"33946",-14.5,22.5,24/02/2009,"10149"
"36794",-14.5,22.5,27/04/2009,"10149"
"39895",-14.5,22.5,30/08/2009,"10149"
"40313",-14.5,22.5,19/09/2009,"10149"
"41461",-14.5,22.5,30/10/2009,"10149"
"41554",-14.5,22.5,02/11/2009,"10149"
"42210",-14.5,22.5,21/11/2009,"10149"
"42492",-14.5,22.5,30/11/2009,"10149"
"43540",-14.5,22.5,16/01/2010,"10149"
"16622",-14.5,21.5,27/03/2008,"10150"
"16808",-14.5,21.5,29/03/2008,"10150"
"16941",-14.5,21.5,30/03/2008,"10150"
"22700",-14.5,21.5,03/08/2008,"10150"
"23948",-14.5,21.5,01/09/2008,"10150"
"26711",-14.5,21.5,25/10/2008,"10150"
"27292",-14.5,21.5,02/11/2008,"10150"
"29078",-14.5,21.5,12/12/2008,"10150"
"30856",-14.5,21.5,10/01/2009,"10150"
"32357",-14.5,21.5,30/01/2009,"10150"
"32442",-14.5,21.5,31/01/2009,"10150"
"34442",-14.5,21.5,03/03/2009,"10150"
"36724",-14.5,21.5,25/04/2009,"10150"
"38767",-14.5,21.5,28/06/2009,"10150"
"39774",-14.5,21.5,20/08/2009,"10150"
"39898",-14.5,21.5,30/08/2009,"10150"
"40081",-14.5,21.5,12/09/2009,"10150"
"40602",-14.5,21.5,25/09/2009,"10150"
"43910",-14.5,21.5,24/01/2010,"10150"
"478",-14.5,20.5,30/03/2006,"10151"
"774",-14.5,20.5,13/04/2006,"10151"
"9538",-14.5,20.5,27/08/2007,"10151"
"13166",-14.5,20.5,29/01/2008,"10151"
"13253",-14.5,20.5,30/01/2008,"10151"
"16630",-14.5,20.5,27/03/2008,"10151"
"16817",-14.5,20.5,29/03/2008,"10151"
"17284",-14.5,20.5,02/04/2008,"10151"
"17347",-14.5,20.5,03/04/2008,"10151"
"18546",-14.5,20.5,24/04/2008,"10151"
"23105",-14.5,20.5,13/08/2008,"10151"
"24196",-14.5,20.5,05/09/2008,"10151"
"25523",-14.5,20.5,01/10/2008,"10151"
"25745",-14.5,20.5,05/10/2008,"10151"
"39943",-14.5,20.5,02/09/2009,"10151"
"40247",-14.5,20.5,17/09/2009,"10151"
"40325",-14.5,20.5,19/09/2009,"10151"
"40376",-14.5,20.5,20/09/2009,"10151"
"40401",-14.5,20.5,21/09/2009,"10151"
"40608",-14.5,20.5,25/09/2009,"10151"
"41517",-14.5,20.5,01/11/2009,"10151"
"458",-14.5,19.5,29/03/2006,"10152"
"2577",-14.5,19.5,29/06/2006,"10152"
"3759",-14.5,19.5,02/09/2006,"10152"
"5871",-14.5,19.5,27/02/2007,"10152"
"7549",-14.5,19.5,08/05/2007,"10152"
"9540",-14.5,19.5,27/08/2007,"10152"
"9812",-14.5,19.5,15/09/2007,"10152"
"13263",-14.5,19.5,30/01/2008,"10152"
"16641",-14.5,19.5,27/03/2008,"10152"
"16826",-14.5,19.5,29/03/2008,"10152"
"16961",-14.5,19.5,30/03/2008,"10152"
"20008",-14.5,19.5,31/05/2008,"10152"
"23112",-14.5,19.5,13/08/2008,"10152"
"24813",-14.5,19.5,17/09/2008,"10152"
"25837",-14.5,19.5,07/10/2008,"10152"
"29400",-14.5,19.5,16/12/2008,"10152"
"29480",-14.5,19.5,17/12/2008,"10152"
"30979",-14.5,19.5,12/01/2009,"10152"
"31412",-14.5,19.5,19/01/2009,"10152"
"33105",-14.5,19.5,09/02/2009,"10152"
"33455",-14.5,19.5,14/02/2009,"10152"
"34446",-14.5,19.5,03/03/2009,"10152"
"37997",-14.5,19.5,01/06/2009,"10152"
"40330",-14.5,19.5,19/09/2009,"10152"
"40382",-14.5,19.5,20/09/2009,"10152"
"40962",-14.5,19.5,05/10/2009,"10152"
"41521",-14.5,19.5,01/11/2009,"10152"
"43566",-14.5,19.5,16/01/2010,"10152"
"2133",-14.5,18.5,13/06/2006,"10153"
"2584",-14.5,18.5,29/06/2006,"10153"
"3763",-14.5,18.5,02/09/2006,"10153"
"7555",-14.5,18.5,08/05/2007,"10153"
"10889",-14.5,18.5,06/11/2007,"10153"
"16651",-14.5,18.5,27/03/2008,"10153"
"16737",-14.5,18.5,28/03/2008,"10153"
"16838",-14.5,18.5,29/03/2008,"10153"
"16974",-14.5,18.5,30/03/2008,"10153"
"17901",-14.5,18.5,12/04/2008,"10153"
"24976",-14.5,18.5,20/09/2008,"10153"
"29406",-14.5,18.5,16/12/2008,"10153"
"30988",-14.5,18.5,12/01/2009,"10153"
"32920",-14.5,18.5,07/02/2009,"10153"
"38005",-14.5,18.5,01/06/2009,"10153"
"2590",-14.5,17.5,29/06/2006,"10154"
"2904",-14.5,17.5,13/07/2006,"10154"
"13288",-14.5,17.5,30/01/2008,"10154"
"15680",-14.5,17.5,16/03/2008,"10154"
"16855",-14.5,17.5,29/03/2008,"10154"
"18855",-14.5,17.5,04/05/2008,"10154"
"23025",-14.5,17.5,11/08/2008,"10154"
"24788",-14.5,17.5,16/09/2008,"10154"
"25814",-14.5,17.5,06/10/2008,"10154"
"37378",-14.5,17.5,11/05/2009,"10154"
"38012",-14.5,17.5,01/06/2009,"10154"
"38456",-14.5,17.5,18/06/2009,"10154"
"1570",-14.5,16.5,19/05/2006,"10155"
"2141",-14.5,16.5,13/06/2006,"10155"
"6186",-14.5,16.5,10/03/2007,"10155"
"10897",-14.5,16.5,06/11/2007,"10155"
"13305",-14.5,16.5,30/01/2008,"10155"
"15687",-14.5,16.5,16/03/2008,"10155"
"17006",-14.5,16.5,30/03/2008,"10155"
"18574",-14.5,16.5,24/04/2008,"10155"
"31205",-14.5,16.5,16/01/2009,"10155"
"31347",-14.5,16.5,18/01/2009,"10155"
"31476",-14.5,16.5,20/01/2009,"10155"
"31603",-14.5,16.5,22/01/2009,"10155"
"36699",-14.5,16.5,24/04/2009,"10155"
"37429",-14.5,16.5,12/05/2009,"10155"
"38017",-14.5,16.5,01/06/2009,"10155"
"38077",-14.5,16.5,03/06/2009,"10155"
"39787",-14.5,16.5,20/08/2009,"10155"
"42232",-14.5,16.5,21/11/2009,"10155"
"43602",-14.5,16.5,16/01/2010,"10155"
"33801",-13.5,27.5,22/02/2009,"10232"
"18700",-13.5,26.5,28/04/2008,"10233"
"23517",-13.5,26.5,24/08/2008,"10233"
"29610",-13.5,26.5,19/12/2008,"10233"
"32122",-13.5,26.5,28/01/2009,"10233"
"32234",-13.5,26.5,29/01/2009,"10233"
"33804",-13.5,26.5,22/02/2009,"10233"
"4691",-13.5,25.5,10/12/2006,"10234"
"17316",-13.5,25.5,03/04/2008,"10234"
"18502",-13.5,25.5,24/04/2008,"10234"
"18702",-13.5,25.5,28/04/2008,"10234"
"23524",-13.5,25.5,24/08/2008,"10234"
"25374",-13.5,25.5,30/09/2008,"10234"
"29617",-13.5,25.5,19/12/2008,"10234"
"31892",-13.5,25.5,26/01/2009,"10234"
"32001",-13.5,25.5,27/01/2009,"10234"
"32240",-13.5,25.5,29/01/2009,"10234"
"32334",-13.5,25.5,30/01/2009,"10234"
"33808",-13.5,25.5,22/02/2009,"10234"
"35714",-13.5,25.5,04/04/2009,"10234"
"39267",-13.5,25.5,23/07/2009,"10234"
"18508",-13.5,24.5,24/04/2008,"10235"
"22864",-13.5,24.5,08/08/2008,"10235"
"25378",-13.5,24.5,30/09/2008,"10235"
"26163",-13.5,24.5,15/10/2008,"10235"
"29130",-13.5,24.5,13/12/2008,"10235"
"29623",-13.5,24.5,19/12/2008,"10235"
"30831",-13.5,24.5,10/01/2009,"10235"
"31235",-13.5,24.5,17/01/2009,"10235"
"32135",-13.5,24.5,28/01/2009,"10235"
"32251",-13.5,24.5,29/01/2009,"10235"
"34805",-13.5,24.5,10/03/2009,"10235"
"36418",-13.5,24.5,20/04/2009,"10235"
"42431",-13.5,24.5,28/11/2009,"10235"
"6553",-13.5,23.5,29/03/2007,"10236"
"18751",-13.5,23.5,29/04/2008,"10236"
"20972",-13.5,23.5,17/06/2008,"10236"
"22721",-13.5,23.5,04/08/2008,"10236"
"22791",-13.5,23.5,06/08/2008,"10236"
"22919",-13.5,23.5,09/08/2008,"10236"
"25080",-13.5,23.5,23/09/2008,"10236"
"25126",-13.5,23.5,24/09/2008,"10236"
"25875",-13.5,23.5,08/10/2008,"10236"
"29052",-13.5,23.5,12/12/2008,"10236"
"29635",-13.5,23.5,19/12/2008,"10236"
"30841",-13.5,23.5,10/01/2009,"10236"
"31241",-13.5,23.5,17/01/2009,"10236"
"31396",-13.5,23.5,19/01/2009,"10236"
"31455",-13.5,23.5,20/01/2009,"10236"
"31914",-13.5,23.5,26/01/2009,"10236"
"32028",-13.5,23.5,27/01/2009,"10236"
"32146",-13.5,23.5,28/01/2009,"10236"
"32418",-13.5,23.5,31/01/2009,"10236"
"33054",-13.5,23.5,09/02/2009,"10236"
"34432",-13.5,23.5,03/03/2009,"10236"
"38534",-13.5,23.5,20/06/2009,"10236"
"38850",-13.5,23.5,05/07/2009,"10236"
"40305",-13.5,23.5,19/09/2009,"10236"
"43537",-13.5,23.5,16/01/2010,"10236"
"44130",-13.5,23.5,31/01/2010,"10236"
"2649",-13.5,22.5,01/07/2006,"10237"
"3548",-13.5,22.5,18/08/2006,"10237"
"6555",-13.5,22.5,29/03/2007,"10237"
"7517",-13.5,22.5,08/05/2007,"10237"
"9286",-13.5,22.5,15/08/2007,"10237"
"14384",-13.5,22.5,22/02/2008,"10237"
"16618",-13.5,22.5,27/03/2008,"10237"
"16799",-13.5,22.5,29/03/2008,"10237"
"17274",-13.5,22.5,02/04/2008,"10237"
"17332",-13.5,22.5,03/04/2008,"10237"
"20201",-13.5,22.5,04/06/2008,"10237"
"21127",-13.5,22.5,19/06/2008,"10237"
"23229",-13.5,22.5,16/08/2008,"10237"
"25879",-13.5,22.5,08/10/2008,"10237"
"29065",-13.5,22.5,12/12/2008,"10237"
"29138",-13.5,22.5,13/12/2008,"10237"
"29544",-13.5,22.5,18/12/2008,"10237"
"29645",-13.5,22.5,19/12/2008,"10237"
"30656",-13.5,22.5,06/01/2009,"10237"
"30850",-13.5,22.5,10/01/2009,"10237"
"31248",-13.5,22.5,17/01/2009,"10237"
"31313",-13.5,22.5,18/01/2009,"10237"
"31459",-13.5,22.5,20/01/2009,"10237"
"31705",-13.5,22.5,24/01/2009,"10237"
"32156",-13.5,22.5,28/01/2009,"10237"
"33445",-13.5,22.5,14/02/2009,"10237"
"33947",-13.5,22.5,24/02/2009,"10237"
"34437",-13.5,22.5,03/03/2009,"10237"
"38289",-13.5,22.5,13/06/2009,"10237"
"38536",-13.5,22.5,20/06/2009,"10237"
"38982",-13.5,22.5,10/07/2009,"10237"
"39771",-13.5,22.5,20/08/2009,"10237"
"39896",-13.5,22.5,30/08/2009,"10237"
"40314",-13.5,22.5,19/09/2009,"10237"
"41462",-13.5,22.5,30/10/2009,"10237"
"41555",-13.5,22.5,02/11/2009,"10237"
"41582",-13.5,22.5,03/11/2009,"10237"
"41696",-13.5,22.5,07/11/2009,"10237"
"42211",-13.5,22.5,21/11/2009,"10237"
"3552",-13.5,21.5,18/08/2006,"10238"
"9193",-13.5,21.5,06/08/2007,"10238"
"9534",-13.5,21.5,27/08/2007,"10238"
"16623",-13.5,21.5,27/03/2008,"10238"
"16942",-13.5,21.5,30/03/2008,"10238"
"22701",-13.5,21.5,03/08/2008,"10238"
"23403",-13.5,21.5,21/08/2008,"10238"
"27649",-13.5,21.5,08/11/2008,"10238"
"29079",-13.5,21.5,12/12/2008,"10238"
"29143",-13.5,21.5,13/12/2008,"10238"
"29395",-13.5,21.5,16/12/2008,"10238"
"29557",-13.5,21.5,18/12/2008,"10238"
"29657",-13.5,21.5,19/12/2008,"10238"
"33952",-13.5,21.5,24/02/2009,"10238"
"34443",-13.5,21.5,03/03/2009,"10238"
"38485",-13.5,21.5,19/06/2009,"10238"
"40319",-13.5,21.5,19/09/2009,"10238"
"42216",-13.5,21.5,21/11/2009,"10238"
"43911",-13.5,21.5,24/01/2010,"10238"
"775",-13.5,20.5,13/04/2006,"10239"
"2159",-13.5,20.5,14/06/2006,"10239"
"2524",-13.5,20.5,27/06/2006,"10239"
"2576",-13.5,20.5,29/06/2006,"10239"
"2607",-13.5,20.5,30/06/2006,"10239"
"2652",-13.5,20.5,01/07/2006,"10239"
"3554",-13.5,20.5,18/08/2006,"10239"
"7542",-13.5,20.5,08/05/2007,"10239"
"9104",-13.5,20.5,01/08/2007,"10239"
"9197",-13.5,20.5,06/08/2007,"10239"
"10112",-13.5,20.5,01/10/2007,"10239"
"10132",-13.5,20.5,02/10/2007,"10239"
"13073",-13.5,20.5,28/01/2008,"10239"
"13167",-13.5,20.5,29/01/2008,"10239"
"13254",-13.5,20.5,30/01/2008,"10239"
"16631",-13.5,20.5,27/03/2008,"10239"
"16818",-13.5,20.5,29/03/2008,"10239"
"17085",-13.5,20.5,31/03/2008,"10239"
"17180",-13.5,20.5,01/04/2008,"10239"
